Sort by Square
line <400, 400>, <450, 450>, S = 0, P = 70.7107
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <0, 0>, <134, 134>, S = 0, P = 189.505

Sort by Perimeter
line <400, 400>, <450, 450>, S = 0, P = 70.7107
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <100, 103>, <200, 50>, S = 0, P = 113.177
line <0, 0>, <134, 134>, S = 0, P = 189.505
